"HYBRID_ZONE","MARKER","PARAMETERS","VALUES","LEVEL"
"bombina_variegataK","HI","center",617.347383296192,"main"
"bombina_variegataK","HI","width",7.34053506584789,"main"
"bombina_variegataK","HI","pMin",0.00940022906140386,"main"
"bombina_variegataK","HI","pMax",0.754707141364227,"main"
"bombina_variegataK","HI","deltaM",69052169.2552192,"main"
"bombina_variegataK","HI","tauM",0.830372443226115,"main"
"bombina_variegataK","HI","center",616.38314240045,"high"
"bombina_variegataK","HI","center",630.958625322104,"low"
"bombina_variegataK","HI","width",0.883482441632751,"high"
"bombina_variegataK","HI","width",57.6127782677337,"low"
"bombina_variegataK","HI","pMin",0.0011151897788452,"high"
"bombina_variegataK","HI","pMin",0.148341452148427,"low"
"bombina_variegataK","HI","pMax",0.660087123103705,"high"
"bombina_variegataK","HI","pMax",0.924729685018064,"low"
"bombina_variegataK","HI","deltaM",1549.32202830779,"high"
"bombina_variegataK","HI","deltaM",3132412596.38348,"low"
"bombina_variegataK","HI","tauM",0.00202381249939879,"high"
"bombina_variegataK","HI","tauM",0.959058201483642,"low"
"bombina_variegataK","HII","center",518.110659249403,"main"
"bombina_variegataK","HII","width",565.484929538237,"main"
"bombina_variegataK","HII","pMin",0,"main"
"bombina_variegataK","HII","pMax",1,"main"
"bombina_variegataK","HII","center",302.465783734746,"high"
"bombina_variegataK","HII","center",599.67376122802,"low"
"bombina_variegataK","HII","width",228.749955823774,"high"
"bombina_variegataK","HII","width",1540.45549055111,"low"
"bombina_variegataK","QI","center",604.965378211551,"main"
"bombina_variegataK","QI","width",29.8344617940244,"main"
"bombina_variegataK","QI","pMin",0.1285,"main"
"bombina_variegataK","QI","pMax",0.9955,"main"
"bombina_variegataK","QI","center",-228.130503295538,"high"
"bombina_variegataK","QI","center",610.566569490799,"low"
"bombina_variegataK","QI","width",28.7654616506148,"high"
"bombina_variegataK","QI","width",1207.30004331232,"low"
"bombina_variegataK","genomic","center",627.844979231528,"main"
"bombina_variegataK","genomic","width",14.0952516620324,"main"
"bombina_variegataK","genomic","pMin",0,"main"
"bombina_variegataK","genomic","pMax",1,"main"
"bombina_variegataK","genomic","center",622.819797470189,"high"
"bombina_variegataK","genomic","center",632.288824784569,"low"
"bombina_variegataK","genomic","width",8.16333853008257,"high"
"bombina_variegataK","genomic","width",22.2187471132825,"low"
"bombina_variegataJ","HI","center",1244.43630027707,"main"
"bombina_variegataJ","HI","width",490.945134450993,"main"
"bombina_variegataJ","HI","pMin",0,"main"
"bombina_variegataJ","HI","pMax",1,"main"
"bombina_variegataJ","HI","center",932.649284636919,"high"
"bombina_variegataJ","HI","center",1320.34911116535,"low"
"bombina_variegataJ","HI","width",120.083936840177,"high"
"bombina_variegataJ","HI","width",2003.01282463994,"low"
"bombina_variegataJ","HII","center",1299.72490234886,"main"
"bombina_variegataJ","HII","width",349.128450824752,"main"
"bombina_variegataJ","HII","pMin",0,"main"
"bombina_variegataJ","HII","pMax",1,"main"
"bombina_variegataJ","HII","center",1084.33475829454,"high"
"bombina_variegataJ","HII","center",1401.09268818445,"low"
"bombina_variegataJ","HII","width",105.104533652595,"high"
"bombina_variegataJ","HII","width",2038.72858592893,"low"
"bombina_variegataJ","Q2","center",-381.86811330733,"main"
"bombina_variegataJ","Q2","width",6224.59506857971,"main"
"bombina_variegataJ","Q2","pMin",0.011,"main"
"bombina_variegataJ","Q2","pMax",0.967,"main"
"bombina_variegataJ","Q2","center",-79316383727.4783,"high"
"bombina_variegataJ","Q2","center",220.182883094329,"low"
"bombina_variegataJ","Q2","width",5558.46103913198,"high"
"bombina_variegataJ","Q2","width",314246281243.671,"low"
"bombina_variegataJ","genomic","center",1320.76531312592,"main"
"bombina_variegataJ","genomic","width",90.4939857899339,"main"
"bombina_variegataJ","genomic","pMin",0,"main"
"bombina_variegataJ","genomic","pMax",1,"main"
"bombina_variegataJ","genomic","center",1309.42446527389,"high"
"bombina_variegataJ","genomic","center",1335.96228400539,"low"
"bombina_variegataJ","genomic","width",49.3122322141005,"high"
"bombina_variegataJ","genomic","width",205.680560172224,"low"
